Date,Gold_Ret,VIX_diff,Rate_diff,War_Dummy,Interaction,Event
2021-09-02,-0.0024297457991779466,0.2999992370605469,-0.008000016212463379,0,0.0,Russia-Ukraine
2021-09-03,0.012199334385803619,0.0,0.02799999713897705,0,0.0,Russia-Ukraine
2021-09-07,-0.019301359933995132,1.7299995422363281,0.04799997806549072,0,0.0,Russia-Ukraine
2021-09-08,-0.002899725043928858,-0.18000030517578125,-0.03600001335144043,0,-0.0,Russia-Ukraine
2021-09-09,0.0037346122321662177,0.8400001525878906,-0.034999966621398926,0,0.0,Russia-Ukraine
2021-09-10,-0.00434907227353077,2.1500015258789062,0.0419999361038208,0,0.0,Russia-Ukraine
2021-09-13,0.0013401970011455836,-1.5799999237060547,-0.01699995994567871,0,-0.0,Russia-Ukraine
2021-09-14,0.007062031376286556,0.08999824523925781,-0.04700005054473877,0,0.0,Russia-Ukraine
2021-09-15,-0.0068388283782960125,-1.279998779296875,0.027000069618225098,0,-0.0,Russia-Ukraine
2021-09-16,-0.021314620752901005,0.5100002288818359,0.026999950408935547,0,0.0,Russia-Ukraine
2021-09-17,-0.002968010838533277,2.1199989318847656,0.03900003433227539,0,0.0,Russia-Ukraine
2021-09-20,0.007063155449170932,4.899999618530273,-0.06099998950958252,0,0.0,Russia-Ukraine
2021-09-21,0.008027603161512306,-1.3499984741210938,0.014999985694885254,0,-0.0,Russia-Ukraine
2021-09-22,0.0003940390072630704,-3.489999771118164,0.011999964714050293,0,-0.0,Russia-Ukraine
2021-09-23,-0.01645707372556822,-2.240001678466797,0.07400000095367432,0,-0.0,Russia-Ukraine
2021-09-24,0.0011437069101939464,-0.8799991607666016,0.05000007152557373,0,-0.0,Russia-Ukraine
2021-09-27,0.00017147117355570008,1.010000228881836,0.023999929428100586,0,0.0,Russia-Ukraine
2021-09-28,-0.008147357577374788,4.489999771118164,0.05000007152557373,0,0.0,Russia-Ukraine
2021-09-29,-0.008272426561606493,-0.6900005340576172,0.006999969482421875,0,-0.0,Russia-Ukraine
2021-09-30,0.01944380650125953,0.5799999237060547,-0.011999964714050293,0,0.0,Russia-Ukraine
2021-10-01,0.0009679989072590911,-2.039999008178711,-0.05000007152557373,0,-0.0,Russia-Ukraine
